Scenario,Model,Macro-F1 (%),Balanced Acc (%),Overall Acc (%)
AS,densenet121,79.22,79.38,79.38
AS,resnet18,69.38,69.95,69.95
LT,densenet121,84.13,84.08,84.08
LT,resnet18,78.53,78.58,78.58
SS,densenet121,86.06,85.94,85.94
SS,resnet18,86.62,86.61,86.61
