Scenario,Model,Macro-F1 (%),Balanced Acc (%),Overall Acc (%)
AS,densenet121,64.32,64.64,64.64
AS,resnet18,76.94,77.02,77.02
LT,densenet121,69.92,69.84,69.84
LT,resnet18,83.19,83.04,83.04
SS,densenet121,77.34,77.28,77.28
SS,resnet18,86.75,86.64,86.64
