Scenario,Model,Mode,Macro-F1 (%),Balanced Acc (%),Overall Acc (%)
AS,densenet121,DeepSMOTE,69.56,69.35,69.35
AS,resnet18,DeepSMOTE,74.43,74.24,74.24
LT,densenet121,DeepSMOTE,79.58,79.52,79.52
LT,resnet18,DeepSMOTE,79.69,79.61,79.61
SS,densenet121,DeepSMOTE,85.47,85.46,85.46
SS,resnet18,DeepSMOTE,84.46,84.42,84.42
